Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
09/23/2026 08:00,PJM,61847,36.00,-0.32,-0.88
09/23/2026 08:00,WEST,61752,31.88,-3.26,0.30
09/23/2026 09:00,CAPITL,61757,31.41,0.62,0.00
09/23/2026 09:00,CENTRL,61754,30.52,-0.28,0.00
09/23/2026 09:00,DUNWOD,61760,33.23,2.43,0.00
09/23/2026 09:00,GENESE,61753,29.53,-1.26,0.00
09/23/2026 09:00,H Q,61844,31.65,-0.12,-0.98
09/23/2026 09:00,HUD VL,61758,32.67,1.88,0.00
09/23/2026 09:00,LONGIL,61762,35.94,3.11,-2.04
09/23/2026 09:00,MHK VL,61756,31.47,0.68,0.00
09/23/2026 09:00,MILLWD,61759,32.98,2.19,0.00
09/23/2026 09:00,N.Y.C.,61761,33.47,2.68,0.00
09/23/2026 09:00,NORTH,61755,30.76,-0.03,0.00
09/23/2026 09:00,NPX,61845,33.10,1.32,-0.98
09/23/2026 09:00,O H,61846,29.37,-2.40,-0.97
09/23/2026 09:00,PJM,61847,31.77,0.00,-0.98
09/23/2026 09:00,WEST,61752,28.44,-2.34,0.01
09/23/2026 10:00,CAPITL,61757,30.44,0.45,0.00
09/23/2026 10:00,CENTRL,61754,29.75,-0.24,0.00
09/23/2026 10:00,DUNWOD,61760,32.53,2.52,-0.02
09/23/2026 10:00,GENESE,61753,28.91,-1.08,0.00
09/23/2026 10:00,H Q,61844,29.87,-0.12,0.00
09/23/2026 10:00,HUD VL,61758,31.91,1.92,0.00
09/23/2026 10:00,LONGIL,61762,35.23,3.15,-2.09
09/23/2026 10:00,MHK VL,61756,30.68,0.69,0.00
09/23/2026 10:00,MILLWD,61759,32.21,2.22,0.00
09/23/2026 10:00,N.Y.C.,61761,32.81,2.79,-0.02
09/23/2026 10:00,NORTH,61755,29.96,-0.03,0.00
09/23/2026 10:00,NPX,61845,31.16,1.17,0.00
09/23/2026 10:00,O H,61846,27.77,-2.22,0.01
09/23/2026 10:00,PJM,61847,30.15,0.15,0.00
09/23/2026 10:00,WEST,61752,27.91,-2.07,0.01
09/23/2026 11:00,CAPITL,61757,29.32,0.40,0.00
